Wall time,Step,Value
1570106033.8755155,32902,1.0
1570106120.3025155,33034,1.0
1570106200.2135155,33152,1.0
1570106217.1675153,33179,1.0
1570106218.4675155,33181,1.0
1570106274.8855155,33271,1.0
1570106319.6235154,33341,1.0
1570106340.2505155,33375,1.0
1570106358.5365155,33403,1.0
1570106501.3735156,33631,1.0
1570106562.8835154,33728,1.0
1570106568.2475154,33737,1.0
1570106575.9785154,33749,1.0
1570106587.3985155,33768,1.0
1570106598.0435154,33785,1.0
1570106633.8455155,33839,1.0
1570106641.9465156,33851,1.0
1570106659.2485156,33876,1.0
1570106686.6445155,33913,1.0
1570106754.1545155,34017,1.0
1570106765.2275155,34036,1.0
1570106833.1775155,34141,1.0
1570106971.9175155,34362,1.0
1570106985.2445157,34383,1.0
1570107020.4325156,34438,1.0
1570107073.7075155,34525,1.0
1570107074.3565156,34526,1.0
1570107120.1965156,34599,1.0
1570107240.2515154,34783,1.0
1570107450.2165155,35115,1.0
1570107489.4745154,35177,1.0
1570107585.0445156,35333,1.0
1570107598.2115154,35354,1.0
1570107603.5035155,35362,1.0
1570107612.8585155,35377,1.0
1570107685.3195155,35483,1.0
1570107741.5405157,35573,1.0
1570107868.8545156,35771,1.0
1570107873.7525156,35778,1.0
1570107916.7055156,35844,1.0
1570107920.1515155,35849,1.0
1570107986.3865154,35953,1.0
1570107996.7345154,35970,1.0
1570108038.1105154,36037,1.0
1570108170.6565156,36246,1.0
1570108182.1185155,36262,1.0
1570108190.9875154,36275,1.0
1570108231.2245157,36336,1.0
1570108379.6175156,36569,1.0
1570108416.9485157,36629,1.0
1570108435.8665154,36659,1.0
1570108448.4115155,36678,1.0
1570108504.6075153,36767,1.0
1570108538.9435153,36819,1.0
1570108558.8485155,36850,1.0
1570108594.7075155,36907,1.0
1570108689.7715154,37053,1.0
1570108769.4895155,37169,1.0
1570108791.4895155,37202,1.0
1570108950.9725156,37455,1.0
1570108972.8065155,37489,1.0
1570109146.2175155,37764,1.0
1570109220.1265154,37876,1.0
1570109423.0545154,38192,1.0
1570109457.6645155,38247,1.0
1570109466.8205156,38262,1.0
1570109576.8325155,38439,1.0
1570109586.9985154,38455,1.0
1570109594.0195153,38466,1.0
1570109668.5975156,38580,1.0
1570109706.8475153,38641,1.0
1570109707.5205157,38642,1.0
1570109742.8565156,38700,1.0
1570109755.1785154,38720,1.0
1570109840.4475155,38840,1.0
1570109928.9865155,38981,1.0
1570109944.5795155,39005,1.0
1570110030.6025155,39141,1.0
1570110092.4745154,39237,1.0
1570110128.2775154,39296,1.0
1570110135.3815155,39307,1.0
1570110317.9405155,39591,1.0
1570110397.3615155,39702,1.0
1570110416.2405155,39730,1.0
1570110448.3775156,39781,1.0
1570110511.6805155,39878,1.0
1570110530.5515153,39909,1.0
1570110533.7685156,39914,1.0
1570110603.5285156,40020,1.0
1570110777.8835154,40296,1.0
1570110905.8245156,40488,1.0
1570110914.7225153,40500,1.0
1570111008.8915155,40647,1.0
1570111019.4195154,40663,1.0
1570111021.8445156,40667,1.0
1570111042.0735154,40700,1.0
1570111051.2605157,40714,1.0
1570111055.1135156,40720,1.0
1570111102.1635153,40793,1.0
1570111259.4015155,41040,1.0
1570111315.0765157,41128,1.0
1570111386.7925155,41244,1.0
1570111405.2775154,41271,1.0
1570111454.7645156,41341,1.0
1570111502.3165157,41409,1.0
1570111556.0325155,41491,1.0
1570111587.1585155,41539,1.0
1570111597.0235155,41555,1.0
1570111796.2985156,41871,1.0
1570111886.5055156,42013,1.0
1570111961.9875154,42134,1.0
1570111992.8285155,42182,1.0
1570112039.8855155,42244,1.0
1570112101.6275153,42339,1.0
1570112170.2185154,42450,1.0
1570112181.8235154,42468,1.0
1570112320.0385156,42678,1.0
1570112385.2225153,42776,1.0
1570112505.4645157,42964,1.0
1570112515.7895155,42981,1.0
1570112539.6615155,43020,1.0
1570112716.9595153,43278,1.0
1570112844.1635153,43474,1.0
